time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,-4.39558,6.79067,5.78287
0.00997984,-4.36027,6.76433,5.72166
0.0199597,-4.31238,6.7787,5.61991
0.0299395,-4.29772,6.79306,5.59851
0.0399194,-4.35189,6.83092,5.63996
0.0498992,-4.35518,6.87881,5.65388
0.059879,-4.37388,6.87132,5.64146
0.0698589,-4.3673,6.80234,5.69727
0.0798387,-4.34082,6.75266,5.71747
0.0898185,-4.26315,6.6937,5.70326
0.0997984,-4.20719,6.67276,5.67602
0.109778,-4.2009,6.65809,5.62365
0.119758,-4.20046,6.66991,5.59956
0.129738,-4.22215,6.71256,5.58669
0.139718,-4.2871,6.72139,5.59702
0.149698,-4.32286,6.69939,5.60345
0.159677,-4.27168,6.64732,5.59073
0.169657,-4.21901,6.59973,5.51816
0.179637,-4.15796,6.60497,5.46713
0.189617,-4.09002,6.53165,5.46698
0.199597,-4.10349,6.45967,5.46713
0.209577,-4.13731,6.45698,5.48075
0.219556,-4.15601,6.39697,5.49736
0.229536,-4.11845,6.38755,5.43616
0.239516,-3.98184,6.33607,5.35386
0.249496,-3.85435,6.30824,5.24492
0.259476,-3.7481,6.27068,5.13299
0.269456,-3.77848,6.26051,5.1083
0.279435,-3.91794,6.31662,5.20003
0.289415,-4.0384,6.32799,5.32378
0.299395,-4.1017,6.31782,5.37241
0.309375,-4.1005,6.33428,5.3172
0.319355,-4.10095,6.35987,5.22607
0.329335,-4.12205,6.42376,5.17474
0.339315,-4.2238,6.4896,5.1906
0.349294,-4.3896,6.58597,5.26946
0.359274,-4.5536,6.716,5.34802
0.369254,-4.76638,6.8408,5.47087
0.379234,-4.96839,6.90813,5.57053
0.389214,-5.05458,6.92205,5.66151
0.399194,-5.15289,6.95003,5.75219
0.409173,-5.1089,6.97727,5.79379
0.419153,-4.96315,6.89452,5.65702
0.429133,-4.81831,6.78498,5.46758
0.439113,-4.76563,6.77855,5.46893
0.449093,-4.78958,6.67575,5.52654
0.459073,-4.81262,6.61634,5.61752
0.469052,-4.81202,6.60018,5.69907
0.479032,-4.77536,6.60512,5.66645
0.489012,-4.68438,6.53898,5.60225
0.498992,-4.62094,6.50202,5.66645
0.508972,-4.66822,6.51624,5.73214
0.518952,-4.75112,6.50292,5.70131
0.528931,-4.88175,6.58731,5.71643
0.538911,-4.98799,6.69415,5.79918
0.548891,-5.08541,6.71959,5.85155
0.558871,-5.07823,6.71256,5.85409
0.568851,-5.04246,6.66228,5.79319
0.578831,-4.91512,6.63699,5.6865
0.58881,-4.86873,6.52686,5.60944
0.59879,-4.81262,6.47015,5.59462
0.60877,-4.81008,6.46296,5.59462
0.61875,-4.85467,6.4914,5.63877
0.62873,-4.94325,6.51653,5.63398
0.63871,-5.02585,6.57938,5.55467
0.64869,-4.97842,6.57714,5.47686
0.658669,-4.92395,6.53434,5.42104
0.668649,-4.88834,6.55649,5.42419
0.678629,-4.91752,6.56502,5.34189
0.688609,-5.00086,6.54467,5.33515
0.698589,-5.10127,6.58866,5.31061
0.708569,-5.16412,6.60467,5.32797
0.718548,-5.15439,6.54197,5.25929
0.728528,-5.17818,6.54407,5.25136
0.738508,-5.2934,6.64657,5.40817
0.748488,-5.41341,6.68862,5.49571
0.758468,-5.42673,6.68817,5.45217
0.768448,-5.3585,6.6768,5.41102
0.778427,-5.28323,6.62263,5.39186
0.788407,-5.22068,6.56143,5.41311
0.798387,-5.10546,6.49544,5.33755
0.808367,-5.09843,6.44546,5.36448
0.818347,-5.16337,6.43274,5.38917
0.828327,-5.1719,6.44022,5.43676
0.838306,-5.17175,6.44725,5.42718
0.848286,-5.09424,6.41463,5.40548
0.858266,-5.08705,6.39578,5.41775
0.868246,-5.1089,6.42885,5.40982
0.878226,-5.09259,6.44516,5.32378
0.888206,-5.0878,6.48107,5.30687
0.898185,-5.11608,6.49484,5.28457
0.908165,-5.20721,6.55095,5.26018
0.918145,-5.27425,6.58582,5.24372
0.928125,-5.34652,6.5945,5.26093
0.938105,-5.3576,6.5924,5.32064
0.948085,-5.3576,6.5924,5.32064
0.958065,-5.26198,6.58043,5.14107
0.968044,-5.26198,6.58043,5.14107
0.978024,-5.04216,6.42226,5.04261
0.988004,-5.0064,6.34101,4.99144
0.997984,-5.0064,6.34101,4.99144
1.00796,-5.05518,6.33278,4.93757
1.01794,-5.09349,6.38066,5.01044
1.02792,-5.09349,6.38066,5.01044
1.0379,-5.28338,6.34715,5.35071
1.04788,-5.36777,6.38261,5.45845
1.05786,-5.36777,6.38261,5.45845
1.06784,-5.34772,6.37378,5.5213
1.07782,-5.34772,6.37378,5.5213
1.0878,-5.35715,6.37438,5.60974
1.09778,-5.37002,6.42211,5.62096
1.10776,-5.37002,6.42211,5.62096
1.11774,-5.41566,6.46745,5.70086
1.12772,-5.46474,6.4266,5.7694
1.1377,-5.42882,6.38351,5.69398
1.14768,-5.40548,6.35717,5.63966
1.15766,-5.32139,6.30255,5.55362
1.16764,-5.35027,6.35642,5.4399
1.17762,-5.38304,6.43917,5.36418
1.1876,-5.36822,6.49888,5.31854
1.19758,-5.33814,6.45758,5.18552
1.20756,-5.30612,6.43798,5.06431
1.21754,-5.33979,6.45429,5.06566
1.22752,-5.39635,6.49214,5.10471
1.2375,-5.46189,6.52491,5.1291
1.24748,-5.4987,6.53659,5.15678
1.25746,-5.45127,6.54212,5.17235
1.26744,-5.37645,6.46671,5.18207
1.27742,-5.33186,6.36914,5.1719
1.2874,-5.2518,6.2816,5.17474
1.29738,-5.1933,6.22968,5.15753
1.30736,-5.18432,6.22519,5.18417
1.31734,-5.25076,6.26769,5.23714
1.32732,-5.31824,6.30749,5.23504
1.3373,-5.37301,6.35373,5.10396
1.34728,-5.38663,6.38186,5.06027
1.35726,-5.37929,6.31034,5.08975
1.36724,-5.29879,6.25632,5.06102
1.37722,-5.22831,6.21636,5.03693
1.3872,-5.19764,6.18584,5.0667
1.39718,-5.17788,6.13107,5.07
1.40716,-5.12536,6.11117,5.18162
1.41714,-5.18282,6.04907,5.31001
1.42712,-5.32932,6.12254,5.49003
1.4371,-5.45052,6.22564,5.40473
1.44708,-5.54419,6.32859,5.26737
1.45706,-5.56275,6.43708,5.09109
1.46704,-5.55168,6.47913,4.91138
1.47702,-5.52818,6.51938,4.81352
1.487,-5.51891,6.48795,4.74932
1.49698,-5.54195,6.48092,4.81097
1.50696,-5.60599,6.46686,4.9868
1.51694,-5.6868,6.43678,5.26752
1.52692,-5.707,6.42316,5.41326
1.5369,-5.68231,6.44231,5.3754
1.54688,-5.68979,6.51085,5.25255
1.55685,-5.71358,6.59794,5.10516
1.56683,-5.72421,6.63325,5.03752
1.57681,-5.72585,6.59958,5.0257
1.58679,-5.79199,6.54422,5.11309
1.59677,-5.80411,6.46311,5.16127
1.60675,-5.70266,6.41418,5.1499
1.61673,-5.59971,6.37423,5.07149
1.62671,-5.55153,6.29552,5.00625
1.63669,-5.52729,6.29806,4.9877
1.64667,-5.53866,6.21187,5.00954
1.65665,-5.53626,6.20963,5.00969
1.66663,-5.54404,6.24779,5.01388
1.67661,-5.53267,6.29103,5.01628
1.68659,-5.51487,6.31243,4.96151
1.69657,-5.51068,6.35553,4.96615
1.70655,-5.44169,6.30585,4.90839
1.71653,-5.42808,6.22684,4.88295
