time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,-0.985808,1.04327,9.71697
0.00997796,-0.987603,1.05973,9.6833
0.0199559,-1.01169,1.05703,9.69228
0.0299339,-1.00002,1.05958,9.69976
0.0399118,-1.0313,1.06886,9.70365
0.0498898,-1.04895,1.09265,9.72924
0.0598677,-1.04476,1.13814,9.7243
0.0698457,-1.02471,1.11913,9.69856
0.0798236,-1.02292,1.0931,9.73717
0.0898016,-1.03339,1.11704,9.76066
0.0997796,-1.04222,1.10716,9.73657
0.109758,-1.031,1.10522,9.76799
0.119735,-1.02845,1.08606,9.77308
0.129713,-1.02531,1.06691,9.75168
0.139691,-1.01035,1.06691,9.72819
0.149669,-0.987454,1.05973,9.67851
0.159647,-1.00975,1.07155,9.7017
0.169625,-1.0075,1.05255,9.71637
0.179603,-1.00436,1.10312,9.75438
0.189581,-1.02382,1.13155,9.75602
0.199559,-1.0301,1.11689,9.72729
0.209537,-1.02277,1.10971,9.72265
0.219515,-1.00736,1.08113,9.69692
0.229493,-1.00107,1.09579,9.7258
0.239471,-0.987753,1.12961,9.7451
0.249449,-0.963961,1.12273,9.75767
0.259427,-0.98461,1.07215,9.74555
0.269405,-0.976829,1.0506,9.73388
0.279383,-0.973687,1.02426,9.71742
0.289361,-0.985059,1.02396,9.69318
0.299339,-0.945555,1.04626,9.73238
0.309317,-0.994187,1.08636,9.74271
0.319295,-0.999424,1.10073,9.75213
0.329273,-1.02187,1.12692,9.77293
0.339251,-1.02875,1.1338,9.75587
0.349228,-1.05419,1.10701,9.73627
0.359206,-1.04671,1.10701,9.72684
0.369184,-1.05614,1.11165,9.71457
0.379162,-1.03249,1.10492,9.72969
0.38914,-1.03175,1.09998,9.70574
0.399118,-1.02516,1.1145,9.72265
0.409096,-1.04476,1.09055,9.74854
0.419074,-1.04985,1.09774,9.75797
0.429052,-1.03504,1.05958,9.76111
0.43903,-1.04626,1.04491,9.73687
0.449008,-1.03234,1.05479,9.75153
0.458986,-1.00676,1.06975,9.77607
0.468964,-1.02621,1.06467,9.78999
0.478942,-0.990746,1.0916,9.78834
0.48892,-0.978326,1.06781,9.7864
0.498898,-0.978026,1.06526,9.77458
0.508876,-0.969497,1.06975,9.71966
0.518854,-0.947201,1.05314,9.69632
0.528832,-0.950194,1.07709,9.71053
0.53881,-0.950194,1.07709,9.71053
0.548788,-0.970395,1.08187,9.74585
0.558766,-0.979223,1.06975,9.72654
0.568743,-1.00227,1.07634,9.68509
0.578721,-1.00227,1.10252,9.67297
0.588699,-0.99284,1.10746,9.67791
