time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,-4.22694,6.5083,5.78945
0.00997718,-4.16185,6.52626,5.85319
0.0199544,-4.16185,6.52626,5.85319
0.0299315,-4.23786,6.56322,5.81264
0.0399087,-4.30176,6.57893,5.77972
0.0498859,-4.38601,6.66378,5.75294
0.0598631,-4.43987,6.72064,5.77269
0.0698402,-4.49808,6.74383,5.79244
0.0798174,-4.48492,6.77062,5.82611
0.0897946,-4.44092,6.73755,5.80845
0.0997718,-4.36072,6.65959,5.79439
0.109749,-4.30535,6.63161,5.79603
0.119726,-4.30041,6.60781,5.80591
0.129703,-4.26211,6.56786,5.82402
0.13968,-4.23427,6.52252,5.78915
0.149658,-4.2226,6.50606,5.80875
0.159635,-4.21303,6.54736,5.87803
0.169612,-4.25223,6.52327,5.92996
0.179589,-4.3076,6.49873,5.9551
0.189566,-4.36655,6.53584,5.90048
0.199544,-4.37493,6.5927,5.82806
0.209521,-4.37284,6.58971,5.74665
0.219498,-4.28994,6.5737,5.68904
0.229475,-4.2859,6.52791,5.64879
0.239452,-4.29862,6.50097,5.59343
0.249429,-4.3079,6.46506,5.60076
0.259407,-4.34456,6.48391,5.6235
0.269384,-4.3266,6.47494,5.67677
0.279361,-4.26166,6.46611,5.6642
0.289338,-4.16903,6.50501,5.57771
0.299315,-4.13267,6.45234,5.49047
0.309293,-4.1406,6.44052,5.52863
0.31927,-4.2633,6.44695,5.64999
0.329247,-4.37418,6.45114,5.77628
0.339224,-4.4077,6.47045,5.85918
0.349201,-4.39813,6.46341,5.86427
0.359178,-4.40501,6.52043,5.82536
0.369156,-4.51409,6.63385,5.81923
0.379133,-4.66478,6.75161,5.85275
0.38911,-4.74468,6.76508,5.88641
0.399087,-4.6784,6.78049,5.90243
0.409064,-4.57993,6.7365,5.9126
0.419041,-4.50108,6.65181,5.96078
0.429019,-4.4921,6.58058,6.02378
0.438996,-4.43583,6.52372,5.99939
0.448973,-4.4077,6.47823,5.95016
0.45895,-4.40621,6.48257,5.88791
0.468927,-4.42192,6.50112,5.83703
0.478905,-4.46666,6.47883,5.82162
0.488882,-4.53026,6.52611,5.85319
0.498859,-4.65161,6.6346,5.86352
0.508836,-4.68603,6.7172,5.76611
0.518813,-4.64323,6.69804,5.69084
0.52879,-4.65805,6.63056,5.64535
0.538768,-4.66687,6.55394,5.65523
0.548745,-4.69306,6.54407,5.65463
0.558722,-4.68543,6.49155,5.6672
0.568699,-4.61495,6.4492,5.6431
0.578676,-4.60283,6.42316,5.65313
0.588654,-4.57141,6.39249,5.65178
0.598631,-4.62887,6.41553,5.64535
0.608608,-4.68573,6.46296,5.69144
0.618585,-4.74843,6.48616,5.70161
0.628562,-4.75546,6.52177,5.67468
0.638539,-4.74693,6.52387,5.61991
0.648517,-4.68977,6.52237,5.63338
