time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,0.273835,2.11227,9.5793
0.00998279,0.254981,2.09761,9.579
0.0199656,0.237324,2.07382,9.62419
0.0299484,0.243908,2.0789,9.64589
0.0399312,0.243758,2.05511,9.66759
0.049914,0.231937,2.05017,9.66489
0.0598967,0.22251,2.02608,9.66729
0.0698795,0.231339,2.03356,9.69377
0.0798623,0.20186,2.04299,9.72415
0.0898451,0.173728,2.08773,9.67746
0.0998279,0.171633,2.09237,9.65831
0.109811,0.14425,2.1226,9.59262
0.119793,0.155772,2.13008,9.60489
0.129776,0.181659,2.14714,9.61267
0.139759,0.226251,2.14968,9.55386
0.149742,0.238671,2.14265,9.53516
0.159725,0.268448,2.10464,9.51705
0.169707,0.260817,2.09985,9.53366
0.17969,0.265306,2.1214,9.53351
0.189673,0.278923,2.09806,9.5796
0.199656,0.257375,2.04524,9.60579
0.209639,0.253485,2.06229,9.65592
0.219621,0.269795,2.04598,9.68509
0.229604,0.25528,2.02444,9.7017
0.239587,0.24331,2.01232,9.70859
0.24957,0.25977,1.99586,9.72355
0.259553,0.291343,2.02249,9.69542
0.269535,0.304062,1.9794,9.6842
0.279518,0.319325,1.96982,9.65592
0.289501,0.322018,1.96743,9.64394
0.299484,0.350749,1.96309,9.64484
0.309467,0.360026,1.98942,9.64484
0.319449,0.314686,1.98643,9.64125
0.329432,0.311245,2.00573,9.67223
0.339415,0.299274,1.98658,9.6839
0.349398,0.299274,1.98658,9.6839
0.35938,0.318128,2.05362,9.65996
0.369363,0.318128,2.05362,9.65996
0.379346,0.300321,2.04344,9.60938
0.389329,0.300321,2.04344,9.60938
0.399312,0.301219,2.06948,9.5588
0.409294,0.301219,2.06948,9.5588
0.419277,0.252288,2.062,9.60788
0.42926,0.252288,2.062,9.60788
0.439243,0.236426,2.05496,9.67223
0.449226,0.235528,2.04329,9.71547
0.459208,0.25558,2.00528,9.69946
0.469191,0.25558,2.00528,9.69946
0.479174,0.235828,2.02414,9.71323
0.489157,0.235828,2.02414,9.71323
0.49914,0.210539,2.0403,9.66445
0.509122,0.210539,2.0403,9.66445
0.519105,0.224306,2.0406,9.68884
0.529088,0.244058,2.03356,9.66295
0.539071,0.241963,2.06918,9.63631
0.549054,0.240017,2.05466,9.62434
0.559036,0.248248,2.04973,9.58394
0.569019,0.25528,2.08564,9.56943
0.579002,0.253335,2.12604,9.53082
0.588985,0.284609,2.14549,9.51705
0.598967,0.280719,2.13083,9.49072
0.60895,0.278325,2.13801,9.48353
0.618933,0.248547,2.13547,9.52828
0.628916,0.248547,2.13547,9.52828
0.638899,0.24331,2.09507,9.56673
0.648881,0.261416,2.1027,9.60549
0.658864,0.284909,2.08893,9.62778
0.668847,0.309599,2.07232,9.60698
0.67883,0.321869,2.03895,9.61477
0.688813,0.350449,2.01321,9.63003
0.698795,0.324562,1.94588,9.64664
0.708778,0.27593,1.94318,9.68135
0.718761,0.248248,1.96219,9.72595
0.728744,0.213083,1.98852,9.77757
0.738727,0.212634,2.02444,9.77967
0.748709,0.218021,2.05526,9.73881
0.758692,0.228196,2.05047,9.71996
0.768675,0.212035,2.0382,9.7029
0.778658,0.239419,2.01905,9.66534
0.788641,0.24705,2.01666,9.64888
0.798623,0.249894,2.01666,9.62973
0.808606,0.273835,2.04314,9.61581
0.818589,0.273237,2.08624,9.61791
0.828572,0.260069,2.05706,9.58424
0.838554,0.231638,2.04958,9.5811
0.848537,0.23897,2.05197,9.57406
0.85852,0.233433,2.04494,9.60758
0.868503,0.216225,2.07337,9.60923
0.878486,0.23478,2.07621,9.63377
0.888468,0.219517,2.07861,9.66684
0.898451,0.236426,2.07651,9.66011
0.908434,0.234631,2.08818,9.62883
0.918417,0.25139,2.09073,9.62689
0.9284,0.264109,2.07875,9.60324
0.938382,0.28431,2.06918,9.56554
0.948365,0.269346,2.06678,9.59157
0.958348,0.261266,2.11467,9.60534
0.968331,0.292839,2.08399,9.6016
0.978314,0.297628,2.05541,9.61641
0.988296,0.295982,2.02189,9.60698
0.998279,0.278923,1.99541,9.62823
1.00826,0.302117,1.96743,9.67701
1.01824,0.298825,1.97236,9.71038
1.02823,0.288051,1.98448,9.74839
1.03821,0.292989,1.99406,9.73881
1.04819,0.286255,1.98194,9.72684
1.05818,0.279522,1.9984,9.70021
1.06816,0.282365,2.00064,9.68105
1.07814,0.295084,2.01262,9.64529
1.08812,0.301818,2.03192,9.65502
1.09811,0.314836,2.01501,9.62195
1.10809,0.312292,2.02219,9.62419
1.11807,0.3298,2.00783,9.59591
1.12806,0.343716,2.00588,9.61791
1.13804,0.351198,2.00828,9.60369
1.14802,0.339526,2.01755,9.58663
1.158,0.327106,2.02698,9.60294
1.16799,0.339227,2.02234,9.59606
1.17797,0.319624,2.03656,9.60743
1.18795,0.271441,2.0599,9.61088
1.19793,0.263361,2.09342,9.62958
1.20792,0.236725,2.09073,9.6432
1.2179,0.219817,2.09536,9.64754
1.22788,0.231787,2.06678,9.65771
1.23787,0.240017,2.04763,9.62928
1.24785,0.266354,2.00498,9.65188
1.25783,0.254233,2.01441,9.65143
1.26781,0.244058,2.03356,9.66774
1.2778,0.243908,2.04554,9.66774
1.28778,0.255879,2.05047,9.66085
1.29776,0.243609,2.07427,9.66504
1.30775,0.256029,2.0599,9.65113
1.31773,0.275481,2.08639,9.62509
1.32771,0.273536,2.08369,9.60594
1.33769,0.252437,2.07861,9.59097
1.34768,0.258423,2.05451,9.56015
1.35766,0.247799,2.08085,9.58604
1.36764,0.252737,2.09282,9.57421
1.37763,0.309,2.08609,9.53022
1.38761,0.290894,2.06948,9.59217
1.39759,0.298376,2.03611,9.59501
1.40757,0.281168,2.04314,9.61117
1.41756,0.261565,2.02638,9.63721
1.42754,0.253934,2.03117,9.65367
1.43752,0.243459,2.02653,9.69183
1.4475,0.266653,2.04374,9.71143
1.45749,0.279222,2.04853,9.68539
1.46747,0.279971,2.03162,9.664
1.47745,0.297628,1.99346,9.64798
1.48744,0.261266,1.99077,9.66863
1.49742,0.247499,1.97371,9.65397
1.5074,0.244207,2.00723,9.67522
1.51738,0.231339,2.03117,9.69856
1.52737,0.227149,2.01187,9.68195
1.53735,0.234481,2.0406,9.66504
1.54733,0.224904,2.05945,9.65517
1.55732,0.232087,2.06439,9.65053
1.5673,0.225503,2.03551,9.63856
1.57728,0.218021,2.0807,9.62838
1.58726,0.227598,2.05466,9.6432
1.59725,0.254532,2.04778,9.62479
1.60723,0.254532,2.04299,9.62494
1.61721,0.273686,2.04075,9.623
1.6272,0.285507,2.04105,9.63287
1.63718,0.305259,2.03162,9.61192
1.64716,0.319624,2.02219,9.61237
1.65714,0.311694,2.04135,9.63601
1.66713,0.283562,2.01935,9.62105
1.67711,0.296879,2.03656,9.65472
1.68709,0.320372,2.05137,9.66489
1.69707,0.28012,2.03641,9.65442
1.70706,0.282065,2.05317,9.66624
1.71704,0.319175,2.04389,9.62419
1.72702,0.319175,2.04853,9.6194
1.73701,0.368107,2.05137,9.57511
1.74699,0.32546,2.0792,9.54264
1.75697,0.313938,2.06469,9.53531
1.76695,0.313639,2.07905,9.53995
1.77694,0.310347,2.07202,9.57586
1.78692,0.306756,2.08429,9.61881
1.7969,0.306606,2.07008,9.63317
1.80689,0.297328,2.04838,9.63317
1.81687,0.301518,2.01052,9.67672
1.82685,0.311245,2.00573,9.67223
1.83683,0.303015,2.02982,9.7029
1.84682,0.305708,2.01546,9.69587
1.8568,0.287752,1.9981,9.65726
1.86678,0.295682,1.97431,9.6432
1.87676,0.283412,1.98374,9.64769
1.88675,0.303015,2.00289,9.62165
1.89673,0.324113,2.01277,9.63167
1.90671,0.299274,2.00558,9.67193
1.9167,0.303613,2.0177,9.68629
1.92668,0.265007,2.02204,9.69243
1.93666,0.260967,2.02174,9.66594
1.94664,0.279971,2.0412,9.65906
1.95663,0.266054,2.03132,9.64918
1.96661,0.278773,2.05272,9.60863
1.97659,0.278175,2.06244,9.62539
1.98658,0.278624,2.0599,9.60863
1.99656,0.290595,2.06723,9.60414
2.00654,0.281766,2.03356,9.58978
2.01652,0.276828,2.05257,9.58948
2.02651,0.281317,2.05032,9.5992
2.03649,0.262014,2.05257,9.60818
2.04647,0.266204,2.0789,9.62015
2.05646,0.265605,2.05766,9.65382
2.06644,0.2677,2.06738,9.661
2.07642,0.246602,2.01681,9.66804
2.0864,0.241364,2.03835,9.67492
2.09639,0.248846,2.05032,9.65577
2.10637,0.258273,2.02429,9.67537
2.11635,0.24735,2.03087,9.62958
2.12633,0.230291,2.04269,9.63856
2.13632,0.232536,2.05227,9.64095
2.1463,0.246602,2.05496,9.64619
2.15628,0.247499,2.05227,9.61267
2.16627,0.271441,2.05736,9.60848
2.17625,0.269047,2.05736,9.61073
2.18623,0.271292,2.08848,9.5986
2.19621,0.257076,2.09776,9.59097
2.2062,0.270244,2.09522,9.54099
2.21618,0.291941,2.08115,9.54414
2.22616,0.299423,2.05017,9.54698
2.23615,0.270094,2.03087,9.58469
2.24613,0.261116,2.03611,9.65143
2.25611,0.25528,2.01007,9.70664
2.26609,0.268149,2.02967,9.75468
2.27608,0.296431,2.04688,9.76485
2.28606,0.319026,2.01591,9.73941
2.29604,0.306456,1.99376,9.67926
2.30602,0.312142,2.00798,9.63616
2.31601,0.32531,1.98867,9.59846
2.32599,0.308102,2.02668,9.59531
2.33597,0.269795,2.02863,9.59427
2.34596,0.266503,2.07412,9.61058
2.35594,0.262014,2.06918,9.601
2.36592,0.240466,2.08085,9.59067
2.3759,0.264259,2.08594,9.59606
2.38589,0.272638,2.08639,9.64185
2.39587,0.282814,2.07681,9.623
2.40585,0.301818,2.03656,9.65008
2.41584,0.299872,1.97206,9.66489
2.42582,0.347606,1.94184,9.68794
2.4358,0.352694,1.94648,9.67133
2.44578,0.353143,1.93451,9.65936
2.45577,0.355088,1.92508,9.68345
2.46575,0.332942,1.96787,9.68734
2.47573,0.322767,1.96548,9.71353
2.48572,0.316183,1.96757,9.6845
2.4957,0.290894,2.02967,9.70739
2.50568,0.253036,2.02668,9.69198
2.51566,0.307055,2.05392,9.71727
2.52565,0.322617,2.02997,9.6818
2.53563,0.275631,1.99256,9.57317
2.54561,0.279522,2.03985,9.48668
2.55559,0.29254,2.12395,9.49595
2.56558,0.310646,2.14115,9.52738
2.57556,0.245853,2.11168,9.55222
2.58554,0.252437,2.11916,9.57152
2.59553,0.253934,2.11706,9.61237
2.60551,0.287602,2.11497,9.6013
2.61549,0.285806,2.08145,9.59666
2.62547,0.273835,2.00498,9.63527
2.63546,0.273237,1.99331,9.66654
2.64544,0.287153,1.98643,9.69078
2.65542,0.306007,1.99391,9.69362
2.66541,0.299423,1.98658,9.67911
2.67539,0.30062,2.00588,9.71263
2.68537,0.28416,2.00094,9.70739
2.69535,0.287303,1.99361,9.6812
2.70534,0.282664,2.01486,9.66175
2.71532,0.288201,2.03147,9.62344
2.7253,0.28835,2.01471,9.62838
2.73528,0.276379,2.01456,9.62569
2.74527,0.280419,2.03865,9.6423
2.75525,0.306157,2.05107,9.66205
2.76523,0.316781,2.03895,9.6218
2.77522,0.316781,2.03895,9.6218
2.7852,0.314986,2.01022,9.61477
2.79518,0.332343,1.98403,9.60579
2.80516,0.311694,2.00573,9.65547
2.81515,0.311544,2.05811,9.63347
2.82513,0.311544,2.05811,9.63347
2.83511,0.335635,2.02982,9.63916
2.8451,0.314237,2.05092,9.62644
2.85508,0.310048,2.04838,9.60235
2.86506,0.307653,2.03162,9.61192
2.87504,0.310197,2.04583,9.59756
2.88503,0.305259,2.04344,9.60459
2.89501,0.254532,2.02384,9.63706
2.90499,0.246302,2.0599,9.6604
2.91498,0.255729,2.07427,9.65816
2.92496,0.248547,2.04793,9.67013
2.93494,0.265755,2.06948,9.63931
2.94492,0.277576,2.06738,9.64454
2.95491,0.292989,2.05062,9.61147
2.96489,0.301219,2.04554,9.57332
2.97487,0.340274,2.02444,9.55536
2.98485,0.339825,2.03416,9.56494
2.99484,0.301967,2.00483,9.56658
3.00482,0.326956,2.00079,9.61985
3.0148,0.337581,2.0204,9.6607
3.02479,0.322916,2.02025,9.67477
3.03477,0.301818,1.98658,9.67686
3.04475,0.301219,1.98912,9.69841
3.05473,0.272638,2.00049,9.68554
3.06472,0.303613,1.99631,9.69602
3.0747,0.279971,2.01022,9.67612
3.08468,0.294635,2.02459,9.65966
3.09467,0.292839,1.97191,9.65996
3.10465,0.293438,1.96698,9.6408
3.11463,0.285956,1.96937,9.65023
3.12461,0.270693,2.00513,9.66624
3.1346,0.268598,2.00977,9.65188
3.14458,0.282365,2.03162,9.664
3.15456,0.298974,2.06289,9.65711
3.16454,0.306606,2.0415,9.65023
3.17453,0.307354,2.04838,9.61671
3.18451,0.315734,2.06005,9.55686
3.19449,0.306905,2.0406,9.54249
3.20448,0.294036,2.05272,9.57317
3.21446,0.271741,2.05017,9.60369
3.22444,0.269346,2.04299,9.60609
3.23442,0.256478,2.03835,9.64409
3.24441,0.254532,2.02144,9.63467
3.25439,0.256478,2.02174,9.65621
3.26437,0.270094,2.02683,9.67806
3.27436,0.245404,2.00289,9.7231
3.28434,0.262014,2.0174,9.72355
3.29432,0.265007,1.99346,9.70694
3.3043,0.320672,1.95351,9.70395
3.31429,0.321719,1.94603,9.66804
3.32427,0.320223,1.95291,9.62494
3.33425,0.318278,1.96473,9.60564
3.34424,0.322617,1.97925,9.61521
3.35422,0.310347,1.98867,9.62195
3.3642,0.271441,1.99541,9.64245
3.37418,0.241963,2.03581,9.65337
3.38417,0.236875,2.0596,9.65068
3.39415,0.249445,2.06439,9.62704
3.40413,0.249894,2.07382,9.60055
3.41411,0.269197,2.06933,9.59875
3.4241,0.278923,2.0789,9.58454
3.43408,0.301818,2.0382,9.55192
